Location,Headquarters,Type of ownership,Industry,Rating,Sector,hourly,avr_salary,company_txt,age,job_state,same_state,python_yn,R_yn,sql_yn,excel_yn,job_title,seniority,desc_len,num_comp,employees_num,revenue_avr
"Fort Worth, TX","Fort Worth, TX",Company - Private,Brokerage Services,3.2,Finance,0,85.0,"First Command Financial Services, Inc.",65.0,TX,True,True,False,True,True,data scientist,na,554,3,3000.5,0.3
"Valencia, CA","West Hills, CA",Company - Private,Consumer Products Manufacturing,2.9,Manufacturing,0,81.5,Pharmavite,52.0,CA,False,False,False,False,True,na,na,802,2,3000.5,1.5
"Novato, CA","San Rafael, CA",Company - Public,Biotech & Pharmaceuticals,3.8,Biotech & Pharmaceuticals,0,168.0,BioMarin Pharmaceutical,26.0,CA,False,False,False,False,True,na,na,836,3,3000.5,0.75
"Aurora, CO","Aurora, CO",Company - Private,Aerospace & Defense,4.3,Aerospace & Defense,0,100.5,Stratagem Group,16.0,CO,True,True,False,True,True,machine learning,na,520,0,25.5,
"New York, NY","London, United Kingdom",Company - Private,Consulting,3.4,Business Services,0,97.0,PA Consulting,80.0,NY,False,True,False,True,True,data scientist,na,1101,3,3000.5,0.3
"Chantilly, VA","Herndon, VA",Company - Public,Research & Development,4.1,Business Services,0,85.0,ManTech,55.0,VA,False,False,False,True,False,data scientist,na,459,0,7500.5,1.5
"Mountain View, CA","Mountain View, CA",Company - Private,Enterprise Software & Network Solutions,4.3,Information Technology,0,153.5,h2o.ai,12.0,CA,True,True,False,False,True,data scientist,na,612,0,350.5,
"Chicago, IL","Chicago, IL",Company - Private,Computer Hardware & Software,4.3,Information Technology,0,100.0,Productive Edge,15.0,IL,True,False,False,True,True,data engineer,na,434,3,125.5,0.0175
"Denver, CO","Denver, CO",Company - Private,Travel Agencies,3.7,Travel & Tourism,0,105.0,Evolve Vacation Rental,12.0,CO,True,True,False,True,False,data scientist,senior,511,0,350.5,
"San Francisco, CA","San Francisco, CA",Company - Private,Real Estate,4.3,Real Estate,0,103.5,Maximus Real Estate Partners,10.0,CA,True,False,False,True,True,data analyst,na,250,3,125.5,
"Pittsburgh, PA","Pittsburgh, PA",College / University,Colleges & Universities,2.6,Education,0,124.0,Software Engineering Institute,39.0,PA,True,True,False,False,True,na,senior,798,0,750.5,
"Richland, WA","Richland, WA",Government,Energy,3.8,"Oil, Gas, Energy & Utilities",0,67.0,PNNL,58.0,WA,True,True,False,False,False,data scientist,na,947,3,3000.5,0.75
"Washington, DC","Seattle, WA",Company - Private,IT Services,3.9,Information Technology,0,87.0,AVANADE,23.0,DC,False,False,False,False,False,data engineer,na,459,3,10000.0,3.5
"Chicago, IL","Mountain View, CA",Company - Private,Enterprise Software & Network Solutions,4.3,Information Technology,0,137.5,h2o.ai,12.0,IL,False,True,False,False,True,data scientist,na,522,0,350.5,
"Cincinnati, OH","Cincinnati, OH",Company - Private,Advertising & Marketing,3.8,Business Services,0,100.0,PatientPoint,36.0,OH,True,True,False,True,True,data scientist,senior,781,3,350.5,0.3
"Chattanooga, TN","Chattanooga, TN",Nonprofit Organization,Insurance Carriers,3.8,Insurance,0,106.5,BlueCross BlueShield of Tennessee,78.0,TN,True,False,False,True,True,data engineer,na,795,0,7500.5,7.5
"Richland, WA","Richland, WA",Government,Energy,3.8,"Oil, Gas, Energy & Utilities",0,98.5,PNNL,58.0,WA,True,False,False,False,False,data scientist,senior,657,3,3000.5,0.75
"Indianapolis, IN","Indianapolis, IN",Company - Private,Consulting,4.4,Business Services,0,106.5,KSM Consulting,15.0,IN,True,True,False,True,False,data scientist,senior,619,0,125.5,
"Cambridge, MA","Cambridge, MA",Company - Private,Internet,3.9,Information Technology,0,84.5,Cogo Labs,18.0,MA,True,True,False,True,False,data engineer,na,304,0,125.5,
"Ewing, NJ","Ewing, NJ",Company - Public,Consumer Products Manufacturing,3.4,Manufacturing,0,109.5,Church & Dwight,177.0,NJ,True,True,False,False,True,manager,na,428,0,3000.5,3.5
"Boston, MA","Springfield, MA",Company - Private,Insurance Carriers,3.6,Insurance,0,164.0,MassMutual,172.0,MA,False,True,False,True,False,data scientist,senior,618,0,7500.5,10.0
"South San Francisco, CA","South San Francisco, CA",Subsidiary or Business Segment,Biotech & Pharmaceuticals,3.9,Biotech & Pharmaceuticals,0,169.0,Genentech,47.0,CA,True,True,False,True,True,data scientist,senior,954,0,10000.0,10.0
"Cupertino, CA","Sunnyvale, CA",Company - Public,Telecommunications Services,3.8,Telecommunications,0,142.0,Juniper Networks,27.0,CA,False,True,False,False,True,data scientist,senior,341,0,7500.5,3.5
"Frederick, MD","Frederick, MD",Company - Private,Insurance Carriers,3.8,Insurance,0,107.0,Legal & General America,42.0,MD,True,True,False,True,True,data scientist,na,416,0,750.5,0.75
"San Jose, CA","San Jose, CA",Company - Public,Computer Hardware & Software,3.5,Information Technology,0,171.5,Western Digital,53.0,CA,True,True,False,True,False,data scientist,na,620,2,10000.0,10.0
"Dallas, TX","Mountain View, CA",Company - Private,Insurance Agencies & Brokerages,3.9,Insurance,0,96.0,Health IQ,10.0,TX,False,False,False,False,True,data scientist,senior,1038,0,350.5,
"San Francisco, CA","San Francisco, CA",Company - Private,Enterprise Software & Network Solutions,4.2,Information Technology,0,142.5,Nuna,13.0,CA,True,False,False,True,False,data scientist,na,501,0,125.5,
"Marlborough, MA","Marlborough, MA",Company - Private,Biotech & Pharmaceuticals,3.5,Biotech & Pharmaceuticals,0,145.0,Sunovion,13.0,MA,True,True,False,False,True,na,senior,718,3,3000.5,1.5
"Herndon, VA","Herndon, VA",Nonprofit Organization,Colleges & Universities,2.9,Education,0,61.5,National Student Clearinghouse,30.0,VA,True,True,False,True,True,data analyst,senior,825,3,350.5,0.0375
"Madison, WI","Madison, WI",Government,Investment Banking & Asset Management,2.7,Finance,0,120.0,State of Wisconsin Investment Board,72.0,WI,True,True,False,True,False,data scientist,na,917,0,125.5,0.075
"Cambridge, MA","Cambridge, MA",Company - Public,Biotech & Pharmaceuticals,4.4,Biotech & Pharmaceuticals,0,62.0,Rubius Therapeutics,10.0,MA,True,False,False,False,False,na,na,762,0,350.5,0.3
"San Francisco, CA","San Rafael, CA",Company - Public,Computer Hardware & Software,4.0,Information Technology,0,150.5,Autodesk,41.0,CA,False,True,False,True,False,data scientist,senior,343,0,7500.5,3.5
